,rank,points,goalsDiff,group,form,status,description,update,team.id,team.name,team.logo,all.played,all.win,all.draw,all.lose,all.goals.for,all.goals.against,home.played,home.win,home.draw,home.lose,home.goals.for,home.goals.against,away.played,away.win,away.draw,away.lose,away.goals.for,away.goals.against
0,1,76,62,Veikkausliiga,LWWWW,,UEFA Champions League Qualifiers,2018-02-15T00:00:00+00:00,649,HJK helsinki,https://media.api-sports.io/football/teams/649.png,33,23,7,3,78,16,17,13,2,2,40,7,16,10,5,1,38,9
1,2,56,15,Veikkausliiga,WWLDW,,UEFA Europa League,2018-02-15T00:00:00+00:00,1165,KuPS,https://media.api-sports.io/football/teams/1165.png,33,16,8,9,51,36,16,9,4,3,27,18,17,7,4,6,24,18
2,3,56,4,Veikkausliiga,WWWDW,,UEFA Europa League,2018-02-15T00:00:00+00:00,1163,Ilves Tampere,https://media.api-sports.io/football/teams/1163.png,33,15,11,7,39,35,17,10,3,4,25,22,16,5,8,3,14,13
3,4,49,15,Veikkausliiga,WLLLL,,,2018-02-15T00:00:00+00:00,1166,FC Lahti,https://media.api-sports.io/football/teams/1166.png,33,12,13,8,46,31,16,6,7,3,20,12,17,6,6,5,26,19
4,5,49,2,Veikkausliiga,LWLWW,,,2018-02-15T00:00:00+00:00,587,IFK Mariehamn,https://media.api-sports.io/football/teams/587.png,33,13,10,10,44,42,17,10,5,2,32,17,16,3,5,8,12,25
5,6,47,-5,Veikkausliiga,WDDLL,,,2018-02-15T00:00:00+00:00,689,SJK,https://media.api-sports.io/football/teams/689.png,33,13,8,12,42,47,17,7,4,6,20,24,16,6,4,6,22,23
6,7,42,-8,Veikkausliiga,WLWDW,,,2018-02-15T00:00:00+00:00,1167,Rops,https://media.api-sports.io/football/teams/1167.png,33,12,6,15,43,51,17,9,1,7,27,24,16,3,5,8,16,27
7,8,39,-13,Veikkausliiga,LWLDL,,,2018-02-15T00:00:00+00:00,650,vaasa PS,https://media.api-sports.io/football/teams/650.png,33,9,12,12,38,51,17,4,7,6,21,29,16,5,5,6,17,22
8,9,38,-3,Veikkausliiga,LLWDL,,,2018-02-15T00:00:00+00:00,1164,Inter Turku,https://media.api-sports.io/football/teams/1164.png,33,10,8,15,54,57,16,4,6,6,27,25,17,6,2,9,27,32
9,10,32,-21,Veikkausliiga,LLDLL,,,2018-02-15T00:00:00+00:00,1170,PS Kemi Kings,https://media.api-sports.io/football/teams/1170.png,33,8,8,17,38,59,16,3,7,6,19,25,17,5,1,11,19,34
10,11,29,-17,Veikkausliiga,LDLWW,,Relegation Play-off,2018-02-15T00:00:00+00:00,1172,HIFK Elsinki,https://media.api-sports.io/football/teams/1172.png,33,6,11,16,37,54,16,4,6,6,14,18,17,2,5,10,23,36
11,12,26,-31,Veikkausliiga,WLWDL,,Relegation,2018-02-15T00:00:00+00:00,1171,JJK,https://media.api-sports.io/football/teams/1171.png,33,6,8,19,32,63,16,4,3,9,16,33,17,2,5,10,16,30
